id,district,code,party,first_name,last_name,first_elected,birth_year,gender,race_ethnicity,religion,lgbtq,votepercent_president2016_democrat,votepercent_president2016_republican,votepercent_president2012_democrat,votepercent_president2012_republican,votepercent_president2008_democrat,votepercent_president2008_republican,rvotepercent_house_democrat,rvotepercent_house_republican,votepercent_president2004_democrat,votepercent_president2004_republican,votepercent_president2000_democrat,votepercent_president2000_republican,votepercent2014_house_democrat,votepercent2014_house_republican,two_party2012_dem,two_party2012_rep,acs_population_adult_white,acs_population_adult_black,acs_population_adult_latino,acs_population_adult_asianpacificislander,acs_population_adult_native,acs_population_adult_other,acs_bachelordegree_age25plus,acs_ba_rank,acs_ba_white,acs_ba_white_rank,acs_medianincome,acs_medianincome_rank,noncollege_white_share,tvotetotal_president,qvote_president_democrat,qvote_president_republican,votetotal_president2012,vote_president2012_democrat,vote_president2012_republican,votetotal_president2008,vote_president2008_democrat,vote_president2008_republican,votetotal2016_house,vote_house2016_democrat,vote_house2016_republican,vote_house2016_other,vote_total2014_house,vote_house2014_democrat,vote_house2014_republican,vote_house2014_other,house2_party2012_dem,house2_party2012_rep,acs_population_total,acs_votingagepopulation_total,,,
11,Arizona 3rd,AZ-03,Democratic,Raúl,Grijalva,2002,1948,Man,Hispanic - Mexican,Christian - Roman Catholic,No,62.4,32.5,61.4,36.9,58.2,40.7,88.1,0,41,58,43,55,55.7,44.2,61.1,38.9,37.5,5,51.1,1.7,3.5,1.3,16.5,416,26.9,314,44224,381,27.3,208934,130466,67952,177248,108902,65482,176761,102818,71980,169135,148973,0,20162,104428,58192,46185,51,98468,62663,648715,448730,,,"(11,'Arizona 3rd','AZ-03','Democratic','Raúl','Grijalva',2002,1948,'Man','Hispanic - Mexican','Christian - Roman Catholic','No',62.4,32.5,61.4,36.9,58.2,40.7,88.1,0,41,58,43,55,55.7,44.2,61.1,38.9,37.5,5,51.1,1.7,3.5,1.3,16.5,416,26.9,314,44224,381,27.3,208934,130466,67952,177248,108902,65482,176761,102818,71980,169135,148973,0,20162,104428,58192,46185,51,98468,62663,648715,448730),"
12,Arizona 4th,AZ-04,Republican,Paul,Gosar,2010,1958,Man,White - Non-Hispanic,Christian - Roman Catholic,No,27.5,67.7,31,67.2,34.4,64.2,28.5,71.5,62,38,63,35,25.8,70,29.8,70.2,81.8,1.7,12.6,1.1,1.5,1.4,19.2,398,20.5,414,49466,322,64.9,298483,82192,202043,258046,80035,173394,251086,86346,161163,284783,81296,203487,0,175179,45179,122560,7440,69154,162907,702085,555930,,,"(12,'Arizona 4th','AZ-04','Republican','Paul','Gosar',2010,1958,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',27.5,67.7,31,67.2,34.4,64.2,28.5,71.5,62,38,63,35,25.8,70,29.8,70.2,81.8,1.7,12.6,1.1,1.5,1.4,19.2,398,20.5,414,49466,322,64.9,298483,82192,202043,258046,80035,173394,251086,86346,161163,284783,81296,203487,0,175179,45179,122560,7440,69154,162907,702085,555930),"
13,Arizona 5th,AZ-05,Republican,Andy,Biggs,2016,1958,Man,White - Non-Hispanic,Christian - Mormon,No,36.5,57.6,34.6,63.8,36.3,62.6,35.9,64.1,45,54,43,54,30.4,69.6,32.8,67.2,78,2.9,13.3,3.7,0.8,1.4,36,119,37.5,164,71693,82,48.7,332093,121280,191432,293748,101511,187304,286711,104014,179566,320124,114940,205184,0,179463,54596,124867,0,89589,183470,728335,528135,,,"(13,'Arizona 5th','AZ-05','Republican','Andy','Biggs',2016,1958,'Man','White - Non-Hispanic','Christian - Mormon','No',36.5,57.6,34.6,63.8,36.3,62.6,35.9,64.1,45,54,43,54,30.4,69.6,32.8,67.2,78,2.9,13.3,3.7,0.8,1.4,36,119,37.5,164,71693,82,48.7,332093,121280,191432,293748,101511,187304,286711,104014,179566,320124,114940,205184,0,179463,54596,124867,0,89589,183470,728335,528135),"
14,Arizona 6th,AZ-06,Republican,David,Schweikert,2010,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,42.4,52.4,38.8,59.5,41.2,57.7,37.9,62.1,35,64,37,61,35.1,64.9,35.2,64.8,81.4,2.5,10.3,3,1.4,1.4,45.4,40,48.5,72,67830,114,41.9,338331,143571,177332,313417,121661,186537,316599,130426,182747,324444,122866,201578,0,199776,70198,129578,0,97666,179706,696790,545870,,,"(14,'Arizona 6th','AZ-06','Republican','David','Schweikert',2010,1962,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',42.4,52.4,38.8,59.5,41.2,57.7,37.9,62.1,35,64,37,61,35.1,64.9,35.2,64.8,81.4,2.5,10.3,3,1.4,1.4,45.4,40,48.5,72,67830,114,41.9,338331,143571,177332,313417,121661,186537,316599,130426,182747,324444,122866,201578,0,199776,70198,129578,0,97666,179706,696790,545870),"
15,Arizona 7th,AZ-07,Democratic,Ruben,Gallego,2014,1979,Man,Hispanic - Mexican/Colombian,Christian - Roman Catholic,No,71.8,22.6,71.7,26.5,64.7,34.1,75.2,24.7,57,43,58,38,74.9,0,100,0,33.9,12.1,47.1,2.5,2.9,1.4,14,427,26.5,322,40991,409,24.9,164399,117958,37232,140907,101028,37353,132868,85991,45289,158811,119465,39286,60,72454,54235,0,18219,104489,0,615185,388040,,,"(15,'Arizona 7th','AZ-07','Democratic','Ruben','Gallego',2014,1979,'Man','Hispanic - Mexican/Colombian','Christian - Roman Catholic','No',71.8,22.6,71.7,26.5,64.7,34.1,75.2,24.7,57,43,58,38,74.9,0,100,0,33.9,12.1,47.1,2.5,2.9,1.4,14,427,26.5,322,40991,409,24.9,164399,117958,37232,140907,101028,37353,132868,85991,45289,158811,119465,39286,60,72454,54235,0,18219,104489,0,615185,388040),"
16,Arizona 8th,AZ-08,Republican,Debbie,Lesko,2018,1958,Woman,White - Non-Hispanic,,No,37,58.1,36.9,61.7,38.4,60.6,0,68.5,46,53,46,50,0,75.8,35.6,64.4,76.2,4.2,14.6,2.7,0.7,1.5,29.4,214,31.3,245,61754,159,52.3,327325,120992,190163,291126,107335,179555,288189,110610,174516,298971,0,204942,94029,169776,0,128710,41066,95635,172809,723400,551615,,,"(16,'Arizona 8th','AZ-08','Republican','Debbie','Lesko',2018,1958,'Woman','White - Non-Hispanic','','No',37,58.1,36.9,61.7,38.4,60.6,0,68.5,46,53,46,50,0,75.8,35.6,64.4,76.2,4.2,14.6,2.7,0.7,1.5,29.4,214,31.3,245,61754,159,52.3,327325,120992,190163,291126,107335,179555,288189,110610,174516,298971,0,204942,94029,169776,0,128710,41066,95635,172809,723400,551615),"
17,Arizona 9th,AZ-09,Democratic,Kyrsten,Sinema,2012,1976,Woman,White - Non-Hispanic,Unaffiliated,Bisexual,54.7,38.4,51.1,46.6,51.3,47.4,60.9,39,60,38,52,39,54.7,41.9,52.2,47.8,67.9,5.3,18.7,3.6,2.7,1.9,37.5,98,44.7,94,55349,226,37.4,283863,155158,109123,264563,135244,123263,274042,140546,129894,277507,169055,108350,102,162062,88609,67841,5612,121881,111630,687315,529465,,,"(17,'Arizona 9th','AZ-09','Democratic','Kyrsten','Sinema',2012,1976,'Woman','White - Non-Hispanic','Unaffiliated','Bisexual',54.7,38.4,51.1,46.6,51.3,47.4,60.9,39,60,38,52,39,54.7,41.9,52.2,47.8,67.9,5.3,18.7,3.6,2.7,1.9,37.5,98,44.7,94,55349,226,37.4,283863,155158,109123,264563,135244,123263,274042,140546,129894,277507,169055,108350,102,162062,88609,67841,5612,121881,111630,687315,529465),"
18,Arkansas 1st,AR-01,Republican,Rick,Crawford,2010,1966,Man,White - Non-Hispanic,Christian - Southern Baptist,No,30.2,65,36.3,61,39.2,58,0,76.3,47,52,50,48,32.4,63.3,41,59,79.6,16.9,1.8,0.3,0.4,1.1,16.5,416,17.6,428,40492,415,65.6,260717,78688,169438,253460,92086,154549,262118,102670,151918,241047,0,183866,57181,196256,63555,124139,8562,96601,138800,716435,547025,,,"(18,'Arkansas 1st','AR-01','Republican','Rick','Crawford',2010,1966,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',30.2,65,36.3,61,39.2,58,0,76.3,47,52,50,48,32.4,63.3,41,59,79.6,16.9,1.8,0.3,0.4,1.1,16.5,416,17.6,428,40492,415,65.6,260717,78688,169438,253460,92086,154549,262118,102670,151918,241047,0,183866,57181,196256,63555,124139,8562,96601,138800,716435,547025),"
19,Arkansas 2nd,AR-02,Republican,French,Hill,2014,1956,Man,White - Non-Hispanic,Christian - Roman Catholic,No,41.7,52.4,42.9,54.7,44.3,53.8,36.8,58.3,48,51,48,49,43.6,51.9,41.7,58.3,73.7,21.2,2.4,1,0.3,1.4,30,203,32.5,228,49498,321,49.7,306974,127883,160782,292515,125527,160140,293250,129888,157732,302464,111347,176472,14645,237330,103477,123073,10780,113156,158175,735830,559250,,,"(19,'Arkansas 2nd','AR-02','Republican','French','Hill',2014,1956,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',41.7,52.4,42.9,54.7,44.3,53.8,36.8,58.3,48,51,48,49,43.6,51.9,41.7,58.3,73.7,21.2,2.4,1,0.3,1.4,30,203,32.5,228,49498,321,49.7,306974,127883,160782,292515,125527,160140,293250,129888,157732,302464,111347,176472,14645,237330,103477,123073,10780,113156,158175,735830,559250),"
20,Arkansas 3rd,AR-03,Republican,Steve,Womack,2010,1957,Man,White - Non-Hispanic,Christian - Southern Baptist,No,30.5,61.9,31.6,65.5,33.9,63.9,0,77.3,36,62,37,60,0,79.4,0,100,86.2,2.9,5.9,1.9,1.1,2,26.9,256,28.8,286,47903,340,61.3,292163,89081,180921,257668,81413,168703,253566,85866,161902,280907,0,217192,63715,190935,0,151630,39305,0,186467,721855,532875,,,"(20,'Arkansas 3rd','AR-03','Republican','Steve','Womack',2010,1957,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',30.5,61.9,31.6,65.5,33.9,63.9,0,77.3,36,62,37,60,0,79.4,0,100,86.2,2.9,5.9,1.9,1.1,2,26.9,256,28.8,286,47903,340,61.3,292163,89081,180921,257668,81413,168703,253566,85866,161902,280907,0,217192,63715,190935,0,151630,39305,0,186467,721855,532875),"
21,Arkansas 4th,AR-04,Republican,Bruce,Westerman,2014,1967,Man,White - Non-Hispanic,Christian - Southern Baptist,No,31.3,64.2,35.9,61.8,37.4,59.9,0,74.9,48,51,49,48,42.6,53.7,38.1,61.9,76.5,19.1,2.2,0.4,0.6,1.2,15.8,420,17,430,39586,420,63.4,270781,84842,173731,265825,95383,164352,277684,103886,166465,244159,0,182885,61274,206131,87742,110789,7600,95013,154149,699895,536190,,,"(21,'Arkansas 4th','AR-04','Republican','Bruce','Westerman',2014,1967,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',31.3,64.2,35.9,61.8,37.4,59.9,0,74.9,48,51,49,48,42.6,53.7,38.1,61.9,76.5,19.1,2.2,0.4,0.6,1.2,15.8,420,17,430,39586,420,63.4,270781,84842,173731,265825,95383,164352,277684,103886,166465,244159,0,182885,61274,206131,87742,110789,7600,95013,154149,699895,536190),"
22,California 1st,CA-01,Republican,Doug,LaMalfa,2012,1960,Man,White - Non-Hispanic,Christian - Protestant,No,36.5,56.2,40.3,56.6,41.8,53,40.9,59.1,37,62,33,61,39,61,42.6,57.4,82.7,1.5,9.4,2.2,1.5,2.7,23.7,319,25.7,342,47488,345,61.4,313968,114727,176358,303928,122379,171902,100,41.76,53.01,314036,128588,185448,0,216372,84320,132052,0,125386,168827,682190,542180,,,"(22,'California 1st','CA-01','Republican','Doug','LaMalfa',2012,1960,'Man','White - Non-Hispanic','Christian - Protestant','No',36.5,56.2,40.3,56.6,41.8,53,40.9,59.1,37,62,33,61,39,61,42.6,57.4,82.7,1.5,9.4,2.2,1.5,2.7,23.7,319,25.7,342,47488,345,61.4,313968,114727,176358,303928,122379,171902,100,41.76,53.01,314036,128588,185448,0,216372,84320,132052,0,125386,168827,682190,542180),"
23,California 2nd,CA-02,Democratic,Jared,Huffman,2012,1964,Man,White - Non-Hispanic,Unknown,No,69,23.3,69,27,71.4,25.4,76.9,23.1,41,58,41,55,75,25,71.2,28.8,80.6,1.6,9.7,3.4,1.8,2.9,40.8,74,45.9,87,66604,123,43.5,344971,238157,80545,333442,230212,89908,100,71.37,25.43,330766,254194,76572,0,217524,163124,54400,0,226216,91310,660390,520500,,,"(23,'California 2nd','CA-02','Democratic','Jared','Huffman',2012,1964,'Man','White - Non-Hispanic','Unknown','No',69,23.3,69,27,71.4,25.4,76.9,23.1,41,58,41,55,75,25,71.2,28.8,80.6,1.6,9.7,3.4,1.8,2.9,40.8,74,45.9,87,66604,123,43.5,344971,238157,80545,333442,230212,89908,100,71.37,25.43,330766,254194,76572,0,217524,163124,54400,0,226216,91310,660390,520500),"
24,California 3rd,CA-03,Democratic,John,Garamendi,2009,1945,Man,White - Non-Hispanic,Christian - Protestant,No,53,40.4,54.3,43.1,54.9,42.3,59.4,40.6,37,61,36,59,52.7,47.3,54.2,45.8,58.8,6.8,19.6,10.5,0.8,3.5,25.1,290,28.5,292,61508,163,41.9,262086,138882,105860,241687,131237,104145,100,54.91,42.25,256966,152513,104453,0,150260,79224,71036,0,126882,107086,652310,482835,,,"(24,'California 3rd','CA-03','Democratic','John','Garamendi',2009,1945,'Man','White - Non-Hispanic','Christian - Protestant','No',53,40.4,54.3,43.1,54.9,42.3,59.4,40.6,37,61,36,59,52.7,47.3,54.2,45.8,58.8,6.8,19.6,10.5,0.8,3.5,25.1,290,28.5,292,61508,163,41.9,262086,138882,105860,241687,131237,104145,100,54.91,42.25,256966,152513,104453,0,150260,79224,71036,0,126882,107086,652310,482835),"
25,California 4th,CA-04,Republican,Tom,McClintock,2008,1956,Man,White - Non-Hispanic,Christian - Baptist,No,39.3,54,39.5,57.9,42.9,54.2,37.3,62.7,61,38,60,35,0,100,38.9,61.1,82.3,1.3,9.1,4,0.9,2.4,33.3,156,33.7,210,74074,73,54.5,353388,138790,190924,337634,133473,195386,100,42.92,54.22,350978,130845,220133,0,211134,0,211134,0,125885,197803,690565,539630,,,"(25,'California 4th','CA-04','Republican','Tom','McClintock',2008,1956,'Man','White - Non-Hispanic','Christian - Baptist','No',39.3,54,39.5,57.9,42.9,54.2,37.3,62.7,61,38,60,35,0,100,38.9,61.1,82.3,1.3,9.1,4,0.9,2.4,33.3,156,33.7,210,74074,73,54.5,353388,138790,190924,337634,133473,195386,100,42.92,54.22,350978,130845,220133,0,211134,0,211134,0,125885,197803,690565,539630),"
26,California 5th,CA-05,Democratic,Mike,Thompson,1998,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,69.2,24.3,69.7,27.5,70.4,26.2,76.9,23.1,70,28,62,30,75.7,0,74.5,25.5,61.8,6.6,16.8,11,0.5,3.3,31.2,175,37.5,164,73006,77,38.5,305052,210950,74088,286658,199924,78703,100,70.36,26.22,292091,224526,67565,0,171148,129613,0,41535,202872,69545,649765,502210,,,"(26,'California 5th','CA-05','Democratic','Mike','Thompson',1998,1951,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',69.2,24.3,69.7,27.5,70.4,26.2,76.9,23.1,70,28,62,30,75.7,0,74.5,25.5,61.8,6.6,16.8,11,0.5,3.3,31.2,175,37.5,164,73006,77,38.5,305052,210950,74088,286658,199924,78703,100,70.36,26.22,292091,224526,67565,0,171148,129613,0,41535,202872,69545,649765,502210),"
27,California 6th,CA-06,Democratic,Doris,Matsui,2005,1944,Woman,Asian - Japanese,Christian - Methodist,No,69.2,24.4,69.1,28.3,67.6,29.3,75.4,24.6,67,32,66,31,72.7,27.3,75.1,24.9,46.3,13.6,20.2,15.8,0.5,3.7,27.5,248,36.6,175,51932,268,29.2,243910,168687,59549,225831,156141,63862,100,67.64,29.33,235413,177565,57848,0,133456,97008,36448,0,160667,53406,654205,479665,,,"(27,'California 6th','CA-06','Democratic','Doris','Matsui',2005,1944,'Woman','Asian - Japanese','Christian - Methodist','No',69.2,24.4,69.1,28.3,67.6,29.3,75.4,24.6,67,32,66,31,72.7,27.3,75.1,24.9,46.3,13.6,20.2,15.8,0.5,3.7,27.5,248,36.6,175,51932,268,29.2,243910,168687,59549,225831,156141,63862,100,67.64,29.33,235413,177565,57848,0,133456,97008,36448,0,160667,53406,654205,479665),"
28,California 7th,CA-07,Democratic,Ami,Bera,2012,1965,Man,Asian - Indian,Unitarian Universalist,No,52.3,40.9,50.8,46.8,51.4,45.9,51.2,48.8,85,14,77,15,50.4,49.6,51.7,48.3,61.6,7.6,13,13.7,0.5,3.5,32.9,160,34.1,201,68735,106,40.5,304118,159066,124249,285997,145147,133888,100,51.35,45.93,297301,152133,145168,0,183587,92521,91066,0,141241,132050,681615,512085,,,"(28,'California 7th','CA-07','Democratic','Ami','Bera',2012,1965,'Man','Asian - Indian','Unitarian Universalist','No',52.3,40.9,50.8,46.8,51.4,45.9,51.2,48.8,85,14,77,15,50.4,49.6,51.7,48.3,61.6,7.6,13,13.7,0.5,3.5,32.9,160,34.1,201,68735,106,40.5,304118,159066,124249,285997,145147,133888,100,51.35,45.93,297301,152133,145168,0,183587,92521,91066,0,141241,132050,681615,512085),"
