id,district,code,party,first_name,last_name,first_elected,election_type,birth_year,gender,race_ethnicity,religion,lgbtq,seat_status2016,votepercent_president2016_democrat,votepercent_president2016_republican,2012votepercent_president_democrat,2012votepercent_president_republican,2008votepercent_president_democrat,2008votepercent_president_republican,rvotepercent_house_democrat,rvotepercent_house_republican,2014votepercent_house_democrat,2014votepercent_house_republican,2012two_party_dem,2012two_party_rep,acs_population_adult_white,acs_population_adult_black,acs_population_adult_latino,acs_population_adult_asianpacificislander,acs_population_adult_native,acs_population_adult_other,census_population2010_adult_white,census_population2010_adult_black,census_population2010_adult_latino,census_population2010_adult_asianpacificislander,census_population2010_adult_native,census_population2010_adult_other,acs_bachelordegree_age25plus,acs_ba_rank,acs_ba_white,acs_ba_white_rank,acs_medianincome,acs_medianincome_rank,noncollege_white_share,sort,tvotetotal_president,qvote_president_democrat,qvote_president_republican,2012votetotal_president,2012vote_pesident_democrat,2012vote_president_republican,2008votetotal_president,2008vote_president_democrat,2008vote_president_republican,2016votetotal_house,2016vote_house_democrat,2016vote_house_republican,2016vote_house_other,2014vote_total_house,2014vote_house_democrat,2014vote_house_republican,2014vote_house_other,2012house2_party_dem,2012house2_party_rep,acs_population_total,acs_population_white,acs_population_black,acs_population_latino,acs_population_asianpacificislander,acs_population_nativeamerican,acs_population_other,acs_votingagepopulation_total,acs_votingagepopulation_white,acs_votingagepopulation_black,acs_votingagepopulation_latino,acs_votingagepopulation_asianpacificislander,acs_votingagepopulation_nativeamerican,acs_votingagepopulation_other,census_totalpopulation,census_totalpopulation_white,census_totalpopulation_black,census_totalpopulation_latino,census_totalpopulation_asianpacificislander,census_totalpopulation_nativeamerican,census_totalpopulation_other,census_votingagepopulation_total,census_votingagepopulation_white,census_votingagepopulation_black,census_votingagepopulation_latino,census_votingagepopulation_asianpacificislander,census_votingagepopulation_nativeamerican,census_votingagepopulation_other
11,Arizona 3rd,AZ-03,Democratic,Raúl,Grijalva,2002,Normal,1948,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,62.4,32.5,61.4,36.9,58.2,40.7,88.1,0,55.7,44.2,61.1,38.9,37.5,5.0,51.1,1.7,3.5,1.3,34.6,3.9,55.2,2.1,3.1,1.2 ,16.5 ,416 ,26.9 ,314 ,44224,381,27.3,11,208934,130466,67952,177248,108902,65482,176761,102818,71980,169135,148973,0,20162,104428,58192,46185,51,98468,62663,648715,199845,31305,376100,9220,22825,9425,448730,168195,22385,229320,7405,15750,5665,710224,206608,27375,430398,12954,22441,10448,497743,172005,19441,274610,10419,15302,5966
12,Arizona 4th,AZ-04,Republican,Paul,Gosar,2010,Normal,1958,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,27.5,67.7,31.0,67.2,34.4,64.2,28.5,71.5,25.8,70.0,29.8,70.2,81.8,1.7,12.6,1.1,1.5,1.4,79.7,1.5,14.5,1.2,1.8,1.3 ,19.2 ,398 ,20.5 ,414 ,49466,322,64.9,12,298483,82192,202043,258046,80035,173394,251086,86346,161163,284783,81296,203487,0,175179,45179,122560,7440,69154,162907,702085,545025,12065,112630,7635,11900,12825,555930,454475,9330,70015,6055,8375,7685,710224,538609,11065,127216,8356,12667,12311,556383,443629,8123,80797,6662,10146,7026
13,Arizona 5th,AZ-05,Republican,Andy,Biggs,2016,Normal,1958,Man,White - Non-Hispanic,Christian - Mormon,No,Open - Retired,36.5,57.6,34.6,63.8,36.3,62.6,35.9,64.1,30.4,69.6,32.8,67.2,78.0,2.9,13.3,3.7,0.8,1.4,76.8,2.8,14.0,4.4,0.8,1.3 ,36.0 ,119 ,37.5 ,164 ,71693,82,48.7,13,332093,121280,191432,293748,101511,187304,286711,104014,179566,320124,114940,205184,0,179463,54596,124867,0,89589,183470,728335,538440,20705,118765,28070,6300,16050,528135,412020,15165,70145,19330,4340,7140,710224,518678,20369,118907,31210,6041,15019,512943,394037,14141,71636,22337,4087,6705
14,Arizona 6th,AZ-06,Republican,David,Schweikert,2010,Normal,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,42.4,52.4,38.8,59.5,41.2,57.7,37.9,62.1,35.1,64.9,35.2,64.8,81.4,2.5,10.3,3.0,1.4,1.4,79.2,2.3,12.3,3.6,1.4,1.3 ,45.4 ,40 ,48.5 ,72 ,67830,114,41.9,14,338331,143571,177332,313417,121661,186537,316599,130426,182747,324444,122866,201578,0,199776,70198,129578,0,97666,179706,696790,534295,18200,96205,23195,10035,14865,545870,444335,13815,56240,16330,7545,7605,710224,534954,16932,107938,25771,11141,13488,554574,439087,12503,68057,19933,7677,7317
15,Arizona 7th,AZ-07,Democratic,Ruben,Gallego,2014,Normal,1979,Man,Hispanic - Mexican/Colombian,Christian - Roman Catholic,No,Re-elected,71.8,22.6,71.7,26.5,64.7,34.1,75.2,24.7,74.9,0,100,0,33.9,12.1,47.1,2.5,2.9,1.4,26.7,9.0,58.2,2.8,2.1,1.3 ,14.0 ,427 ,26.5 ,322 ,40991,409,24.9,15,164399,117958,37232,140907,101028,37353,132868,85991,45289,158811,119465,39286,60,72454,54235,0,18219,104489,0,615185,154740,66280,354640,12720,16265,10550,388040,131680,46965,182770,9840,11265,5520,710224,148948,61376,457064,17438,13930,11468,474491,126628,42663,275963,13180,9742,6315
16,Arizona 8th,AZ-08,Republican,Debbie,Lesko,2018,Special,1958,Woman,White - Non-Hispanic,,No,Re-elected,37.0,58.1,36.9,61.7,38.4,60.6,0,68.5,0,75.8,35.6,64.4,76.2,4.2,14.6,2.7,0.7,1.5,76.1,3.6,15.1,3.2,0.7,1.3 ,29.4 ,214 ,31.3 ,245 ,61754,159,52.3,16,327325,120992,190163,291126,107335,179555,288189,110610,174516,298971,0,204942,94029,169776,0,128710,41066,95635,172809,723400,517825,31110,131515,20860,4760,17325,551615,420540,23150,80665,14960,3765,8535,710225,509305,27059,131226,23104,5003,14528,536590,408385,19155,81076,17325,3619,7030
17,Arizona 9th,AZ-09,Democratic,Kyrsten,Sinema,2012,Normal,1976,Woman,White - Non-Hispanic,Unaffiliated,Bisexual,Re-elected,54.7,38.4,51.1,46.6,51.3,47.4,60.9,39.0,54.7,41.9,52.2,47.8,67.9,5.3,18.7,3.6,2.7,1.9,64.4,4.7,22.4,4.5,2.3,1.7 ,37.5 ,98 ,44.7 ,94 ,55349,226,37.4,17,283863,155158,109123,264563,135244,123263,274042,140546,129894,277507,169055,108350,102,162062,88609,67841,5612,121881,111630,687315,421540,37075,165635,24070,19760,19240,529465,359280,28025,98815,19055,14035,10255,710224,419811,34377,191017,30781,17644,16594,549718,353803,25721,123390,24795,12553,9456
18,Arkansas 1st,AR-01,Republican,Rick,Crawford,2010,Normal,1966,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,30.2,65.0,36.3,61.0,39.2,58.0,0,76.3,32.4,63.3,41.0,59.0,79.6,16.9,1.8,0.3,0.4,1.1,79.5,16.4,2.3,0.5,0.4,0.9 ,16.5 ,416 ,17.6 ,428 ,40492,415,65.6,18,260717,78688,169438,253460,92086,154549,262118,102670,151918,241047,0,183866,57181,196256,63555,124139,8562,96601,138800,716435,552625,129650,17855,2470,2335,11495,547025,435525,92245,9695,1820,1930,5810,728765,561127,131685,20302,3816,2841,8994,553023,439894,90634,12457,2954,2231,4853
19,Arkansas 2nd,AR-02,Republican,French,Hill,2014,Normal,1956,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,41.7,52.4,42.9,54.7,44.3,53.8,36.8,58.3,43.6,51.9,41.7,58.3,73.7,21.2,2.4,1.0,0.3,1.4,73.4,19.6,4.0,1.4,0.4,1.1 ,30.0 ,203 ,32.5 ,228 ,49498,321,49.7,19,306974,127883,160782,292515,125527,160140,293250,129888,157732,302464,111347,176472,14645,237330,103477,123073,10780,113156,158175,735830,517835,166100,27185,7950,2005,14765,559250,412040,118405,13485,5635,1710,7975,729192,512941,155352,35048,10421,3117,12313,553609,406362,108270,22315,7972,2387,6303
20,Arkansas 3rd,AR-03,Republican,Steve,Womack,2010,Normal,1957,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,30.5,61.9,31.6,65.5,33.9,63.9,0,77.3,0,79.4,0,100,86.2,2.9,5.9,1.9,1.1,2.0,81.8,2.4,10.0,2.9,1.3,1.6 ,26.9 ,256 ,28.8 ,286 ,47903,340,61.3,20,292163,89081,180921,257668,81413,168703,253566,85866,161902,280907,0,217192,63715,190935,0,151630,39305,0,186467,721855,586720,21265,70275,16845,7655,19095,532875,459565,15280,31175,10325,5895,10635,728959,569478,18752,92851,22190,9591,16097,541997,443612,13066,54056,15601,6814,8848
21,Arkansas 4th,AR-04,Republican,Bruce,Westerman,2014,Normal,1967,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,31.3,64.2,35.9,61.8,37.4,59.9,0,74.9,42.6,53.7,38.1,61.9,76.5,19.1,2.2,0.4,0.6,1.2,75.4,18.3,4.0,0.6,0.6,1.0 ,15.8 ,420 ,17.0 ,430 ,39586,420,63.4,21,270781,84842,173731,265825,95383,164352,277684,103886,166465,244159,0,182885,61274,206131,87742,110789,7600,95013,154149,699895,514345,139835,27215,3405,4300,10795,536190,410100,102430,11850,2315,3255,6245,729002,529923,141313,37849,4729,4634,10554,555814,419039,101917,22266,3434,3444,5714
22,California 1st,CA-01,Republican,Doug,LaMalfa,2012,Normal,1960,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,36.5,56.2,40.3,56.6,41.8,53.0,40.9,59.1,39.0,61.0,42.6,57.4,82.7,1.5,9.4,2.2,1.5,2.7,82.1,1.3,9.9,2.3,1.8,2.6 ,23.7 ,319 ,25.7 ,342 ,47488,345,61.4,22,313968,114727,176358,303928,122379,171902,100,41.76,53.01,314036,128588,185448,0,216372,84320,132052,0,125386,168827,682190,542190,9555,79700,16540,10365,23840,542180,448445,8210,50805,12120,8140,14460,704304,556527,9075,84890,17617,13263,22932,555171,455854,7455,55094,12852,9745,14171
23,California 2nd,CA-02,Democratic,Jared,Huffman,2012,Normal,1964,Man,White - Non-Hispanic,Unknown,No,Re-elected,69.0,23.3,69.0,27.0,71.4,25.4,76.9,23.1,75.0,25.0,71.2,28.8,80.6,1.6,9.7,3.4,1.8,2.9,76.2,1.7,14.1,3.6,1.9,2.5 ,40.8 ,74 ,45.9 ,87 ,66604,123,43.5,23,344971,238157,80545,333442,230212,89908,100,71.37,25.43,330766,254194,76572,0,217524,163124,54400,0,226216,91310,660390,503445,9625,86990,22150,12570,25605,520500,419660,8120,50380,17695,9455,15190,701504,510654,11090,116747,24899,14751,23363,554173,422538,9268,78130,19890,10399,13948
24,California 3rd,CA-03,Democratic,John,Garamendi,2009,Special,1945,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,53.0,40.4,54.3,43.1,54.9,42.3,59.4,40.6,52.7,47.3,54.2,45.8,58.8,6.8,19.6,10.5,0.8,3.5,55.1,6.0,23.6,11.2,0.9,3.3 ,25.1 ,290 ,28.5 ,292 ,61508,163,41.9,24,262086,138882,105860,241687,131237,104145,100,54.91,42.25,256966,152513,104453,0,150260,79224,71036,0,126882,107086,652310,347675,41180,164650,65385,4585,28840,482835,283960,33005,94630,50935,3645,16670,702044,356604,40957,194579,73565,6199,30140,525021,289176,31514,123713,58628,4659,17331
25,California 4th,CA-04,Republican,Tom,McClintock,2008,Normal,1956,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,39.3,54.0,39.5,57.9,42.9,54.2,37.3,62.7,0,100.0,38.9,61.1,82.3,1.3,9.1,4.0,0.9,2.4,81.0,1.2,10.4,4.0,1.0,2.3 ,33.3 ,156 ,33.7 ,210 ,74074,73,54.5,25,353388,138790,190924,337634,133473,195386,100,42.92,54.22,350978,130845,220133,0,211134,0,211134,0,125885,197803,690565,545840,8655,78415,28950,5875,22825,539630,444205,7090,49225,21620,4635,12850,701728,548837,8267,86784,28965,7314,21561,543649,440426,6626,56547,21935,5584,12531
26,California 5th,CA-05,Democratic,Mike,Thompson,1998,Normal,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,69.2,24.3,69.7,27.5,70.4,26.2,76.9,23.1,75.7,0,74.5,25.5,61.8,6.6,16.8,11.0,0.5,3.3,57.8,6.2,21.5,11.3,0.6,2.6 ,31.2 ,175 ,37.5 ,164 ,73006,77,38.5,26,305052,210950,74088,286658,199924,78703,100,70.36,26.22,292091,224526,67565,0,171148,129613,0,41535,202872,69545,649765,361375,43050,146910,67830,3190,27410,502210,310435,33250,84410,55010,2605,16500,706154,373331,45269,181046,77273,4349,24886,547233,316081,34010,117611,61790,3388,14353
27,California 6th,CA-06,Democratic,Doris,Matsui,2005,Special,1944,Woman,Asian - Japanese,Christian - Methodist,No,Re-elected,69.2,24.4,69.1,28.3,67.6,29.3,75.4,24.6,72.7,27.3,75.1,24.9,46.3,13.6,20.2,15.8,0.5,3.7,43.7,12.1,23.3,16.4,0.6,3.7 ,27.5 ,248 ,36.6 ,175 ,51932,268,29.2,27,243910,168687,59549,225831,156141,63862,100,67.64,29.33,235413,177565,57848,0,133456,97008,36448,0,160667,53406,654205,266010,86940,163585,101850,2660,33165,479665,222045,65145,96790,75600,2330,17750,702413,272613,88367,189643,113647,4236,33907,520901,227625,63260,121584,85552,3357,19523
28,California 7th,CA-07,Democratic,Ami,Bera,2012,Normal,1965,Man,Asian - Indian,Unitarian Universalist,No,Re-elected,52.3,40.9,50.8,46.8,51.4,45.9,51.2,48.8,50.4,49.6,51.7,48.3,61.6,7.6,13.0,13.7,0.5,3.5,61.4,7.0,13.6,14.1,0.5,3.3 ,32.9 ,160 ,34.1 ,201 ,68735,106,40.5,28,304118,159066,124249,285997,145147,133888,100,51.35,45.93,297301,152133,145168,0,183587,92521,91066,0,141241,132050,681615,389405,52185,107490,95425,3330,33775,512085,315640,39005,66710,69940,2645,18140,698200,400468,51089,112087,99245,3575,31736,521668,320465,36698,71114,73359,2796,17236
29,California 8th,CA-08,Republican,Paul,Cook,2012,Normal,1943,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,39.6,54.7,41.7,55.6,41.6,54.8,37.7,62.3,32.4,67.6,0,100,56.2,8.0,29.8,3.1,0.9,1.9,56.0,7.1,30.3,3.5,1.1,2.2 ,17.1 ,411 ,20.6 ,412 ,49194,325,44.5,29,232835,92234,127464,212633,88579,118278,100,41.64,54.81,220007,83035,136972,0,114536,37056,77480,0,0,179644,667670,329310,55000,241220,18815,6210,17115,472380,265345,37850,140800,14830,4480,9080,704301,352877,53306,249040,22288,6914,19876,504172,282090,35578,152682,17547,5367,10908
30,California 9th,CA-09,Democratic,Jerry,McNerney,2006,Normal,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,56.6,38.0,57.8,40.1,56.3,40.8,57.4,42.6,52.4,47.6,55.6,44.4,45.7,9.7,27.3,13.9,0.4,3.0,42.0,8.1,32.6,14.2,0.5,2.7 ,19.1 ,400 ,24.4 ,367 ,61454,164,34.4,30,238191,134719,90484,220312,127418,88403,100,56.3,40.82,232155,133163,98992,0,121204,63475,57729,0,118373,94704,650890,254235,61265,219885,88510,2110,24885,454070,207505,44075,124030,63200,1600,13665,702985,259204,58406,261012,96447,3180,24736,498183,209238,40215,162433,70555,2460,13282
31,California 10th,CA-10,Republican,Jeff,Denham,2010,Normal,1967,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,48.5,45.5,50.6,47.0,49.9,47.2,48.3,51.7,43.9,56.1,47.3,52.7,55.6,3.5,30.8,6.8,0.5,2.8,51.8,3.3,34.8,6.9,0.6,2.6 ,16.6 ,415 ,21.0 ,411 ,60235,182,43.8,31,239680,116335,109145,215113,108923,101160,100,49.87,47.23,241141,116470,124671,0,125705,55123,70582,0,98934,110265,649130,314730,21345,247030,41720,2825,21475,455035,253045,16030,140165,30760,2280,12745,704763,327195,22872,282246,46451,3772,22227,501640,259974,16522,174810,34451,3016,12867
32,California 11th,CA-11,Democratic,Mark,DeSaulnier,2014,Normal,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,71.5,22.7,67.6,30.0,68.8,28.4,72.1,27.9,67.3,32.7,69.7,30.3,57.6,9.5,16.0,13.3,0.3,3.4,52.3,8.8,22.1,13.7,0.3,2.8 ,43.6 ,53 ,56.5 ,35 ,86000,35,25.0,32,312568,223559,70869,301134,203699,90226,100,68.76,28.4,298209,214868,83341,0,174662,117502,57160,0,200743,87136,644735,337075,58760,136700,80865,1600,29735,484800,279005,46050,77625,64515,1270,16340,703454,340992,62761,180136,90522,1750,27293,536843,280764,47427,118732,73394,1419,15107
33,California 12th,CA-12,Democratic,Nancy,Pelosi,1986,Normal,1940,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,86.2,8.7,84.1,12.5,83.8,12.8,80.9,0,83.3,16.7,85.1,14.9,49.5,5.7,11.0,30.7,0.2,3.0,46.3,5.6,13.5,31.5,0.2,2.9 ,59.5 ,8 ,78.1 ,2 ,105918,9,10.8,33,358774,309221,31158,320387,269461,40003,100,83.8,12.75,338845,274035,0,64810,192264,160067,32197,0,253709,44478,642175,301990,37705,81315,193320,1235,26615,550100,272155,31235,60250,168700,1160,16600,704634,309837,41248,103420,223176,1649,25304,614229,284283,34401,83033,193448,1507,17557
34,California 13th,CA-13,Democratic,Barbara,Lee,1998,Special,1946,Woman,Black - African-American,Christian - Baptist,No,Re-elected,87.4,6.8,87.5,9.0,87.1,9.9,90.8,9.2,88.5,11.5,100,0,42.0,19.8,13.6,20.2,0.4,3.9,37.4,19.0,18.0,22.1,0.3,3.4 ,47.2 ,34 ,70.8 ,7 ,73601,74,12.2,34,334194,291926,22743,306314,268093,27474,100,87.1,9.85,322871,293117,29754,0,190431,168491,21940,0,250436,0,640105,244895,124195,113150,122155,2490,33225,504590,212040,99960,68875,101765,2150,19805,702076,240266,134641,146220,148205,2015,30729,561936,210024,106546,100941,123914,1673,18838
35,California 14th,CA-14,Democratic,Jackie,Speier,2008,Special,1950,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,76.9,18.2,74.2,23.6,73.4,23.6,80.9,19.1,76.7,23.3,78.9,21.1,42.9,3.6,17.3,33.2,0.2,2.7,39.3,3.4,22.0,32.4,0.2,2.7 ,47.5 ,32 ,56.9 ,32 ,103850,10,18.4,35,297743,229008,54229,269882,200343,63589,100,73.44,23.55,286447,231630,54817,0,149146,114389,34757,0,203828,54455,628140,247105,20835,131155,202945,930,25175,485145,208270,17660,84100,161190,730,13200,702860,259361,22764,171572,221935,1118,26110,553566,217820,19000,121763,179300,930,14753
